model,arm,seed,fold,n_train,n_test,mae,r2,mdape_uf_m2,fit_seconds,predict_seconds,peak_memory_mb,flops_estimate,energy_joules,started_at,notes
random_forest,full,4,3,641890,163950,0.03834457862370609,0.9078746928718215,4.490262876051077,76.46173839992844,0.9207043000496924,2221.9653120000003,,,2026-08-09T16:26:14,
lightgbm,full,4,3,641890,163950,0.04719435953980648,0.9039472602861847,7.8127354907732105,2.906470999936573,0.8881400000536814,78.78655999999995,,,2026-08-09T16:27:32,
catboost,full,4,3,641890,163950,0.042035885552539974,0.9168088695232033,6.442234662413273,205.9790944000706,0.20886799995787442,656.109568,,,2026-08-09T16:27:36,
mlp,full,4,3,641890,163950,0.048851686446216666,0.8940662264768374,7.782351778768594,39.39349940000102,0.22652480006217957,315.867136,53918760000.0,,2026-08-09T16:31:02,
ridge,full,4,4,645266,160574,0.07608306647197105,0.7414122206930942,12.882652725698348,1.2820122999837622,0.14767209999263287,325.35347199999995,52266789.0,,2026-08-09T16:32:27,
random_forest,full,4,4,645266,160574,0.036600158398743594,0.908004869152726,4.467938254786628,90.35193790006451,0.8725955999689177,2239.4675199999997,,,2026-08-09T16:32:28,
lightgbm,full,4,4,645266,160574,0.04612953812515404,0.9013902999126896,7.671564015898938,2.4168955999193713,0.5409405999816954,81.87494399999997,,,2026-08-09T16:34:00,
catboost,full,4,4,645266,160574,0.04151857514344151,0.9125942975969282,6.489179885679504,186.49838830006775,0.18346789991483092,697.7536,,,2026-08-09T16:34:03,
mlp,full,4,4,645266,160574,0.04774970577273101,0.8910438139983751,7.508655604339812,43.1811162000522,0.1825534999370575,249.454592,50330748000.0,,2026-08-09T16:37:10,
ridge,regime_limited,0,0,5247,560,0.07678599869600079,0.4159313584768477,11.941838374006561,0.017086500069126487,0.005786899942904711,0.0655360000000087,425250.0,,2026-08-09T16:37:53,subsampled to TabPFN's documented limit
random_forest,regime_limited,0,0,5247,560,0.0760874343456738,0.39118428611270706,13.82870889605407,0.41420629993081093,0.036383099970407784,10.981376000000012,,,2026-08-09T16:37:53,subsampled to TabPFN's documented limit
lightgbm,regime_limited,0,0,5247,560,0.08025063121510927,0.420715186686196,14.656688833174991,0.1565465999301523,0.004977900069206953,0.23347200000000612,,,2026-08-09T16:37:54,subsampled to TabPFN's documented limit
catboost,regime_limited,0,0,5247,560,0.06547647375364989,0.6022714963159541,12.27617413213652,36.90659879997838,0.00298099999781698,2.863104000000021,,,2026-08-09T16:37:54,subsampled to TabPFN's documented limit
mlp,regime_limited,0,0,5247,560,0.06440778059031828,0.5691395778294124,11.903485500571058,0.5766448000213131,0.007391899940557778,0.09011199999997643,881496000.0,,2026-08-09T16:38:31,subsampled to TabPFN's documented limit
ridge,regime_limited,0,1,3842,1965,0.08345598515477215,0.43273789088164005,13.805815045468739,0.018157799961045384,0.007403400028124452,1.3803520000000162,311445.0,,2026-08-09T16:38:31,subsampled to TabPFN's documented limit
random_forest,regime_limited,0,1,3842,1965,0.08034658988224098,0.4300075520492148,11.190317433205148,0.2636356999864802,0.04280910000670701,0.5406720000000291,,,2026-08-09T16:38:31,subsampled to TabPFN's documented limit
lightgbm,regime_limited,0,1,3842,1965,0.05362190190013475,0.6764683855803673,6.037893071003922,0.18336810008622706,0.01122009998653084,0.10649599999999282,,,2026-08-09T16:38:32,subsampled to TabPFN's documented limit
catboost,regime_limited,0,1,3842,1965,0.054089874662573006,0.7231062415689484,7.203234668715264,29.42707010009326,0.00962899997830391,1.8841600000000085,,,2026-08-09T16:38:32,subsampled to TabPFN's documented limit
mlp,regime_limited,0,1,3842,1965,0.07031981405981641,0.651256292924768,13.63793193307984,0.36705389991402626,0.006759000010788441,0.024575999999967735,645456000.0,,2026-08-09T16:39:01,subsampled to TabPFN's documented limit
tabpfn,regime_limited,0,1,3842,1965,0.05488591012606655,0.7405277229004482,7.721744129481172,3.552491100039333,264.97140519996174,1390.77632,,,2026-08-09T16:39:02,subsampled to TabPFN's documented limit
ridge,regime_limited,0,2,4372,1435,0.10687797279998364,0.7316204513926952,28.113958703830853,0.02044630004093051,0.009511200012639165,1.9496959999999035,354375.0,,2026-08-09T16:44:06,subsampled to TabPFN's documented limit
random_forest,regime_limited,0,2,4372,1435,0.04352205298060881,0.9371120921529132,9.972966518336047,0.2858390000183135,0.046026699943467975,14.057471999999962,,,2026-08-09T16:44:06,subsampled to TabPFN's documented limit
lightgbm,regime_limited,0,2,4372,1435,0.0619402314369564,0.9070837606774944,13.517686671956794,0.18151870009023696,0.009392999927513301,0.09011199999986275,,,2026-08-09T16:44:07,subsampled to TabPFN's documented limit
catboost,regime_limited,0,2,4372,1435,0.05730112791508831,0.9187841138227267,10.34894704740832,28.996088600018993,0.004433299996890128,1.9496959999999035,,,2026-08-09T16:44:07,subsampled to TabPFN's documented limit
mlp,regime_limited,0,2,4372,1435,0.05785835683506313,0.9006975441641415,5.345022615870071,0.4617464999901131,0.0082676000893116,0.02048000000013417,734496000.0,,2026-08-09T16:44:36,subsampled to TabPFN's documented limit
tabpfn,regime_limited,0,2,4372,1435,0.06674419578551806,0.8879825227825671,12.111532396416989,0.8758150000358,327.87024909991305,531.775488,,,2026-08-09T16:44:36,subsampled to TabPFN's documented limit
ridge,regime_limited,0,3,4800,1007,0.07057656931267209,0.7980260566012938,12.283568309184446,0.036068899906240404,0.00982480007223785,0.020480000000020482,389043.0,,2026-08-09T16:50:05,subsampled to TabPFN's documented limit
random_forest,regime_limited,0,3,4800,1007,0.05184737804322785,0.8831411604000996,7.321802014200698,0.8786347000859678,0.20433589990716428,7.311359999999922,,,2026-08-09T16:50:05,subsampled to TabPFN's documented limit
lightgbm,regime_limited,0,3,4800,1007,0.04520735437199492,0.9008922337423682,10.164526451458121,0.7054474999895319,0.015961700002662838,0.020479999999906795,,,2026-08-09T16:50:06,subsampled to TabPFN's documented limit
catboost,regime_limited,0,3,4800,1007,0.04660045029118198,0.9085380342717603,8.435047404667671,36.7797780999681,0.005423200083896518,1.96607999999992,,,2026-08-09T16:50:07,subsampled to TabPFN's documented limit
mlp,regime_limited,0,3,4800,1007,0.06814425793505087,0.8395382669536311,14.644262455735046,0.8128905999474227,0.014406200032681227,0.020480000000020482,777600000.0,,2026-08-09T16:50:44,subsampled to TabPFN's documented limit
tabpfn,regime_limited,0,3,4800,1007,0.03590797824534835,0.927844833303697,4.4685317857499784,1.2447749000275508,245.7912755999714,800.3993600000001,,,2026-08-09T16:50:45,subsampled to TabPFN's documented limit
ridge,regime_limited,0,4,4967,840,0.12379811667136759,0.6062849819276561,17.16620635110006,0.030274600023403764,0.011994100059382617,0.020479999999906795,402570.0,,2026-08-09T16:54:52,subsampled to TabPFN's documented limit
random_forest,regime_limited,0,4,4967,840,0.0979599107186864,0.8222349354778428,21.652636015298977,0.57170239998959,0.10021259996574372,1.0444800000000214,,,2026-08-09T16:54:52,subsampled to TabPFN's documented limit
lightgbm,regime_limited,0,4,4967,840,0.10130564939400716,0.8132627569711535,23.832157135746037,0.6884258000645787,0.011238800012506545,0.020479999999906795,,,2026-08-09T16:54:53,subsampled to TabPFN's documented limit
catboost,regime_limited,0,4,4967,840,0.09085839602928641,0.8158339220471967,14.399109812814427,36.54861609998625,0.008650200092233717,1.9333120000001145,,,2026-08-09T16:54:53,subsampled to TabPFN's documented limit
mlp,regime_limited,0,4,4967,840,0.13233883549008832,0.47268843412227746,13.51258227797909,0.8073500000173226,0.012030299985781312,0.03276800000003277,745050000.0,,2026-08-09T16:55:30,subsampled to TabPFN's documented limit
tabpfn,regime_limited,0,4,4967,840,0.09231014339400953,0.7692470276652204,9.780153426259899,1.405989299993962,241.18072000006214,588.7508479999999,,,2026-08-09T16:55:31,subsampled to TabPFN's documented limit
